Strona tytułowa;http://ebuw.uw.edu.pl/Content/283674/Kt2i.djvu?djvuopts&page=00000430r.djvu;1
A;http://ebuw.uw.edu.pl/Content/283674/Kt2i.djvu?djvuopts&page=00000431l.djvu;2
c.d.;http://ebuw.uw.edu.pl/Content/283674/Kt2i.djvu?djvuopts&page=00000431r.djvu;3
Amuleta vulgaria;http://ebuw.uw.edu.pl/Content/283674/Kt2i.djvu?djvuopts&page=00000432l.djvu;4
c.d.;http://ebuw.uw.edu.pl/Content/283674/Kt2i.djvu?djvuopts&page=00000432r.djvu;5
Chartae veterum;http://ebuw.uw.edu.pl/Content/283674/Kt2i.djvu?djvuopts&page=00000433l.djvu;6
c.d.;http://ebuw.uw.edu.pl/Content/283674/Kt2i.djvu?djvuopts&page=00000433r.djvu;7
Dativus quartae [n];http://ebuw.uw.edu.pl/Content/283674/Kt2i.djvu?djvuopts&page=00000434l.djvu;8
c.d.;http://ebuw.uw.edu.pl/Content/283674/Kt2i.djvu?djvuopts&page=00000434r.djvu;9
E in Polonica [n];http://ebuw.uw.edu.pl/Content/283674/Kt2i.djvu?djvuopts&page=00000435l.djvu;10
c.d.;http://ebuw.uw.edu.pl/Content/283674/Kt2i.djvu?djvuopts&page=00000435r.djvu;11
G in Polonicis;http://ebuw.uw.edu.pl/Content/283674/Kt2i.djvu?djvuopts&page=00000436l.djvu;12
c.d.;http://ebuw.uw.edu.pl/Content/283674/Kt2i.djvu?djvuopts&page=00000436r.djvu;13
Gerundijs… [Gerundiis];http://ebuw.uw.edu.pl/Content/283674/Kt2i.djvu?djvuopts&page=00000437l.djvu;14
c.d.;http://ebuw.uw.edu.pl/Content/283674/Kt2i.djvu?djvuopts&page=00000437r.djvu;15
Interpretationes…;http://ebuw.uw.edu.pl/Content/283674/Kt2i.djvu?djvuopts&page=00000438l.djvu;16
c.d.;http://ebuw.uw.edu.pl/Content/283674/Kt2i.djvu?djvuopts&page=00000438r.djvu;17
M Polonicis [n];http://ebuw.uw.edu.pl/Content/283674/Kt2i.djvu?djvuopts&page=00000439l.djvu;18
c.d.;http://ebuw.uw.edu.pl/Content/283674/Kt2i.djvu?djvuopts&page=00000439r.djvu;19
Oculi…;http://ebuw.uw.edu.pl/Content/283674/Kt2i.djvu?djvuopts&page=00000440l.djvu;20
c.d.;http://ebuw.uw.edu.pl/Content/283674/Kt2i.djvu?djvuopts&page=00000440r.djvu;21
Poloni…;http://ebuw.uw.edu.pl/Content/283674/Kt2i.djvu?djvuopts&page=00000441l.djvu;22
c.d.;http://ebuw.uw.edu.pl/Content/283674/Kt2i.djvu?djvuopts&page=00000441r.djvu;23
Polonicae voces;http://ebuw.uw.edu.pl/Content/283674/Kt2i.djvu?djvuopts&page=00000442l.djvu;24
c.d.;http://ebuw.uw.edu.pl/Content/283674/Kt2i.djvu?djvuopts&page=00000442r.djvu;25
Praepositio;http://ebuw.uw.edu.pl/Content/283674/Kt2i.djvu?djvuopts&page=00000443l.djvu;26
c.d.;http://ebuw.uw.edu.pl/Content/283674/Kt2i.djvu?djvuopts&page=00000443r.djvu;27
R pro N;http://ebuw.uw.edu.pl/Content/283674/Kt2i.djvu?djvuopts&page=00000444l.djvu;28
c.d.;http://ebuw.uw.edu.pl/Content/283674/Kt2i.djvu?djvuopts&page=00000444r.djvu;29
Simplicia…;http://ebuw.uw.edu.pl/Content/283674/Kt2i.djvu?djvuopts&page=00000445l.djvu;30
c.d.;http://ebuw.uw.edu.pl/Content/283674/Kt2i.djvu?djvuopts&page=00000445r.djvu;31
Syllabae dictionibus more [n];http://ebuw.uw.edu.pl/Content/283674/Kt2i.djvu?djvuopts&page=00000446l.djvu;32
c.d.;http://ebuw.uw.edu.pl/Content/283674/Kt2i.djvu?djvuopts&page=00000446r.djvu;33
Terminatione etiam [n];http://ebuw.uw.edu.pl/Content/283674/Kt2i.djvu?djvuopts&page=00000447l.djvu;34
c.d.;http://ebuw.uw.edu.pl/Content/283674/Kt2i.djvu?djvuopts&page=00000447r.djvu;36
Verba latina non pauca;http://ebuw.uw.edu.pl/Content/283674/Kt2i.djvu?djvuopts&page=00000448l.djvu;36
c.d.;http://ebuw.uw.edu.pl/Content/283674/Kt2i.djvu?djvuopts&page=00000448r.djvu;37
Z;http://ebuw.uw.edu.pl/Content/283674/Kt2i.djvu?djvuopts&page=00000449l.djvu;38
c.d.;http://ebuw.uw.edu.pl/Content/283674/Kt2i.djvu?djvuopts&page=00000449r.djvu;39
[tekst grecki];http://ebuw.uw.edu.pl/Content/283674/Kt2i.djvu?djvuopts&page=00000450l.djvu;40
c.d.;http://ebuw.uw.edu.pl/Content/283674/Kt2i.djvu?djvuopts&page=00000450r.djvu;41
